sample_name,sampleID,region,origin,lat,long,r420,d13c,r_ra,rc_ra,co2_he3,phase,SlabDepth,LabDepth,MohoDepth
Pasto Grande,AR-PG190225,CVZ,this_study,-24.36,-66.57,107.7,-15.33,1.34,1.34,NA,W,192.712619370721,65.0787723231406,58.3335518644585
Inca Chule,AR-IN190223,CVZ,this_study,-24.28,-66.47,106.7,-12,1.97,1.97,NA,G,202.00205994114,65.254937086211,58.7053658775095
Inca Chule,AR-IN190223,CVZ,this_study,-24.28,-66.47,8.8,NA,1.68,1.71,159272457401.868,W,202.00205994114,65.254937086211,58.7053658775095
Inca Chule,AR-IN190223,CVZ,this_study,-24.28,-66.47,12.7,NA,1.77,1.79,19665926845.9939,W,202.00205994114,65.254937086211,58.7053658775095
Banos Incachule,NA,CVZ,published,-24.27,-66.47,76.8,NA,1.74,1.75,NA,G,202.181584066599,65.2620457930977,58.672820125771
Ratios Pompeja,NA,CVZ,published,-24.25,-66.37,13,NA,2.49,2.53,NA,G,210.37949435465,65.715118662406,59.3365314233835
Ratios Pompeja,NA,CVZ,published,-24.25,-66.37,139.8,NA,2.55,2.56,NA,G,210.37949435465,65.715118662406,59.3365314233835
Pizarro,PZ211029,CVZ,published,-24.23715,-64.15768,25.4,NA,0.51,0.51,NA,G,410.001,87.4771213487916,38.7587801367925
Pizarro,PZ211029,CVZ,this_study,-24.23715,-64.15768,25.4,NA,0.51,0.51,NA,G,410.001,87.4771213487916,38.7587801367925
Banos Tocomar,NA,CVZ,published,-24.2,-66.57,2.7,NA,2.57,2.78,NA,G,195.876225822894,65.1924746609725,58.1314342570334
Tocomar,AR-TM190224,CVZ,this_study,-24.19,-66.55,72.3,-11.7,2.47,2.48,168423471199.319,G,197.627540008934,65.2234391088553,58.1683464539227
Antuco,AR-AO190224,CVZ,this_study,-24.18,-66.67,99.8,-7.66,1.96,1.96,6673353464.81371,W,189.228597541331,65.0872250633646,58.3693192478853
Tocomar,TCM1,CVZ,published,-24.18,-66.56,NA,-10.62,NA,NA,NA,G,197.137340566508,65.2185795938724,58.240414493042
Tocomar,TCM2,CVZ,published,-24.18,-66.56,NA,-11.53,NA,1.06,158000000000,G,197.137340566508,65.2185795938724,58.240414493042
Tocomar,TCM3,CVZ,published,-24.18,-66.56,NA,-10.49,NA,NA,NA,G,197.137340566508,65.2185795938724,58.240414493042
Tocomar,TCM4,CVZ,published,-24.18,-66.56,NA,-10.65,NA,1.28,89500000000,G,197.137340566508,65.2185795938724,58.240414493042
Tocomar,TCM5,CVZ,published,-24.18,-66.56,NA,-11.91,NA,NA,NA,G,197.137340566508,65.2185795938724,58.240414493042
Tocomar,TCM6,CVZ,published,-24.18,-66.56,NA,-10.51,NA,NA,NA,G,197.137340566508,65.2185795938724,58.240414493042
Jujuy Province,EP1,CVZ,published,-24.08,-65.54,NA,-13.1,NA,NA,NA,W,275.756592775382,70.7162974306237,47.5145220258295
Jujuy Province,EP2,CVZ,published,-24.08,-65.54,NA,-11.9,NA,0.09,2300000000000,W,275.756592775382,70.7162974306237,47.5145220258295
Jujuy Province,EP3,CVZ,published,-24.08,-65.54,NA,-13.6,NA,NA,NA,W,275.756592775382,70.7162974306237,47.5145220258295
Banos Tuzgle,NA,CVZ,published,-24.03,-66.52,122,NA,5.18,5.19,NA,G,203.980601910409,65.372571967278,59.4557128503085
Salar Aguas Cal II,NA,CVZ,published,-23.93,-67.65,1.3,NA,1.78,2.04,NA,W,135.723701303495,63.9033412803418,56.3294862426341
Sala' Tuyajto,NA,CVZ,published,-23.93,-67.58,3.8,NA,1.77,1.84,NA,W,139.761100536239,63.7388273134238,56.266399658657
Jujuy Province,LQ1,CVZ,published,-23.89,-64.47,NA,-10.1,NA,0.21,712000000000,G,394.184297282962,82.0091656408027,39.5380953233037
Jujuy Province,LQ2,CVZ,published,-23.89,-64.47,NA,-11,NA,0.17,1090000000000,G,394.184297282962,82.0091656408027,39.5380953233037
Jujuy Province,LQ3,CVZ,published,-23.89,-64.47,NA,-10.4,NA,0.15,1430000000000,G,394.184297282962,82.0091656408027,39.5380953233037
Pozo,NA,CVZ,published,-23.87,-64.45,2.7,NA,0.48,0.41,NA,W,396.673276591498,82.2696660861937,39.5262940529426
Jujuy Province,SA,CVZ,published,-23.86,-64.43,NA,-10,NA,0.11,1570000000000,W,399.033334241111,82.5480353878172,39.5044581159453
Jujuy Province,SA,CVZ,published,-23.86,-64.43,NA,-11.5,NA,NA,NA,W,399.033334241111,82.5480353878172,39.5044581159453
Caimancito,CA211030-1,CVZ,published,-23.74572,-64.51825,1.4,NA,0.59,0.5,NA,G,388.147449770462,81.3432796492678,39.8174319225819
Caimancito,CA211030-1,CVZ,this_study,-23.74572,-64.51825,1.4,NA,0.59,0.5,NA,G,388.147449770462,81.3432796492678,39.8174319225819
Caimancito,CA211030-2,CVZ,published,-23.74429,-64.51986,NA,NA,0.48,NA,NA,G,387.941489641531,81.3415997090509,39.8302934224902
Caimancito,CA211030-2,CVZ,this_study,-23.74429,-64.51986,NA,NA,0.48,NA,NA,G,387.941489641531,81.3415997090509,39.8302934224902
Jujuy Province,CA1,CVZ,published,-23.74,-64.52,NA,-16.4,NA,NA,NA,W,387.929147720211,81.3817842694185,39.8481471312252
Jujuy Province,CA2,CVZ,published,-23.74,-64.52,NA,-17.6,NA,NA,NA,W,387.929147720211,81.3817842694185,39.8481471312252
Jujuy Province,CA3,CVZ,published,-23.74,-64.52,NA,-17.1,NA,NA,NA,W,387.929147720211,81.3817842694185,39.8481471312252
Jujuy Province,EJ,CVZ,published,-23.66,-66.47,NA,-18.7,NA,NA,NA,W,215.504156622522,67.8921701791507,61.7088284307542
Salar Aguas Cal. I,NA,CVZ,published,-23.53,-67.65,2.7,NA,1.3,1.34,NA,W,136.275598330193,66.8346549548647,61.4902777803731
Lascar,Las11,CVZ,published,-23.36,-67.73,NA,-1.74,7.29,NA,16600000000,G,132.161761621752,68.4843433678578,63.0682531311635
Lascar,Las14,CVZ,published,-23.36,-67.73,NA,-2.33,NA,NA,NA,G,132.161761621752,68.4843433678578,63.0682531311635
Lascar,Las3,CVZ,published,-23.36,-67.73,NA,NA,7.08,NA,NA,G,132.161761621752,68.4843433678578,63.0682531311635
Lascar,Las6,CVZ,published,-23.36,-67.73,NA,NA,6.41,NA,NA,G,132.161761621752,68.4843433678578,63.0682531311635
Lascar,Las7,CVZ,published,-23.36,-67.73,NA,-3.34,NA,NA,NA,G,132.161761621752,68.4843433678578,63.0682531311635
Lascar,Las9,CVZ,published,-23.36,-67.73,NA,-2.71,NA,NA,NA,G,132.161761621752,68.4843433678578,63.0682531311635
Alitar,Al2,CVZ,published,-23.14,-67.65,NA,-8.15,NA,NA,NA,G,136.440257874191,69.0443811754393,64.4254669484349
Alitar,Al5,CVZ,published,-23.14,-67.65,NA,-7.75,4.8,NA,40400000000,G,136.440257874191,69.0443811754393,64.4254669484349
Alitar,Al6,CVZ,published,-23.14,-67.65,NA,-8.01,NA,NA,NA,G,136.440257874191,69.0443811754393,64.4254669484349
Coranzuli,c2,CVZ,published,-23.03,-66.4,2.5,-13.6,NA,0.27,2900000000000,G,220.854834041438,71.4925865869537,64.1985077048096
Pairique,p1,CVZ,published,-23.03,-66.82,3.1,-10.8,NA,1.16,430000000000,G,185.434758296166,69.496562720195,66.1375769754663
Arituzar,a2,CVZ,published,-23,-66.5,1.9,-6.59,NA,1.36,720000000000,G,211.987674377296,71.2979508913504,64.8477235773731
Rosario Coyaguayma,rc1,CVZ,published,-22.98,-6.59,3.9,-11.2,NA,1.26,340000000000,G,,,
Mina Pirquitas,mp2,CVZ,published,-22.7,-66.5,2.7,-7.55,NA,1.39,250000000000,G,211.00452494368,72.2931159949566,66.145202111563
Puritana,NA,CVZ,published,-22.7,-68.57,0.81,NA,1.02,1.03,NA,W,96.6296331366707,96.6296331366707,65.0264134257697
Putana,Pu1,CVZ,published,-22.56,-67.85,NA,NA,6.15,NA,NA,G,129.036927133147,75.9065649138444,67.0125606618354
Putana,Pu3,CVZ,published,-22.56,-67.85,NA,-6.74,NA,NA,NA,G,129.036927133147,75.9065649138444,67.0125606618354
Putana,Pu4,CVZ,published,-22.56,-67.85,NA,-7.11,7.14,NA,17400000000,G,129.036927133147,75.9065649138444,67.0125606618354
Vilama,v1,CVZ,published,-22.53,-66.98,2.1,-7.15,NA,0.56,1100000000000,G,174.990356644409,72.4549111380033,68.108541642523
Queñual,q4,CVZ,published,-22.4,-66.7,2.1,-8.47,NA,1.21,720000000000,G,195.514007162783,73.1408670869804,67.4690124905979
Torta de Tocorpuri,TT06,CVZ,published,-22.38,-67.5,305,-11.2,1.31,NA,8000000000,G,148.230340219272,74.2316394865213,67.3386145360776
ElTatio,ET03,CVZ,published,-22.33,-68.01,88.4,-9,2.79,NA,164000000000,G,125.358756296786,79.5638472598605,69.4829062776892
ElTatio,ETO 1,CVZ,published,-22.33,-68.01,39.2,-7.9,2.94,NA,343000000000,G,125.358756296786,79.5638472598605,69.4829062776892
Geyser del Tatio,NA,CVZ,published,-22.33,-68.02,1.3,NA,2.16,2.53,NA,G,124.872375567666,79.659884794389,69.560177746489
El Tatio,NA,CVZ,published,-22.32,-68,12.01,NA,1.71,1.73,NA,W,126.023568366323,79.5598958341953,69.5721476728662
Banos Turi,NA,CVZ,published,-22.23,-68.3,1.1,NA,1.63,1.87,NA,W,110.672721457405,85.3750997866899,69.0146797676393
Pampa Apacheta,PA01,CVZ,published,-21.83,-68.16,685.2,-4.8,1.81,NA,63000000000,G,119.993416916198,79.3111275713865,66.6551096263402
Volcan Ollaque,NA,CVZ,published,-21.3,-68.18,4.9,NA,1.8,1.86,NA,G,125.227231769485,77.4731452851931,68.2755011799618
Volcan Olca,NA,CVZ,published,-20.95,-68.47,13.52,NA,1.75,1.77,NA,G,114.768826857263,77.7085177113509,67.4157273459385
Olca,Ol1,CVZ,published,-20.94,-68.48,NA,-8.54,6.11,NA,17200000000,G,114.543057153115,77.7478749503474,67.3636250542667
Olca,Ol2,CVZ,published,-20.94,-68.48,NA,-8.04,NA,NA,NA,G,114.543057153115,77.7478749503474,67.3636250542667
Irruputuncu,Ir1,CVZ,published,-20.73,-68.55,NA,-7.23,7.27,NA,18800000000,G,116.620479716268,76.3909717046679,67.1835237732591
Irruputuncu,Ir8,CVZ,published,-20.73,-68.55,NA,-6.53,NA,NA,NA,G,116.620479716268,76.3909717046679,67.1835237732591
Vocan Irruptupuncu,NA,CVZ,published,-20.73,-68.53,NA,NA,4.96,4.96,NA,G,117.593861718496,76.2282660182715,67.3141018938444
Irrupuncu,NA,CVZ,published,-20.72,-68.65,0.68,NA,2.35,3.53,NA,W,112.029871109683,77.8339466137662,66.543819938953
Mina Conception,NA,CVZ,published,-20.58,-68.35,2.07,NA,3.01,3.37,NA,G,130.498820806955,74.503565077232,68.9913042088073
Abra de Nappa,NA,CVZ,published,-20.53,-68.57,0.27,NA,1.06,1.06,NA,W,121.173125805237,75.4015753922296,67.5264497451515
Empexa,NA,CVZ,published,-20.53,-68.57,0.39,NA,1.68,1.68,NA,W,121.173125805237,75.4015753922296,67.5264497451515
Mamina,NA,CVZ,published,-20.47,-69.33,58.9,NA,0.08,0.07,NA,W,84.2715672513224,84.2715672513224,42.5713016514732
Jujuy Province,RE1,CVZ,published,-20.17,-65.49,NA,-12.5,NA,NA,NA,W,328.524626076606,87.0055477289225,67.7196115675613
Jujuy Province,RE2,CVZ,published,-20.17,-65.49,NA,-12.9,NA,NA,NA,W,328.524626076606,87.0055477289225,67.7196115675613
Jujuy Province,RE3,CVZ,published,-20.17,-65.49,NA,-13.1,NA,NA,NA,W,328.524626076606,87.0055477289225,67.7196115675613
Canto,NA,CVZ,published,-19.9,-68.62,8.89,NA,2.45,2.5,NA,G,129.562168771104,74.6704945374373,68.7070116876312
Lirlma,NA,CVZ,published,-19.85,-68.9,6.72,NA,0.36,0.33,NA,W,115.389406896812,94.0062382010678,65.682776333987
Pampa Lirima,PL06,CVZ,published,-19.84,-68.83,274.1,-15,1.09,NA,10000000000,G,119.387800248192,82.2397853104128,66.6580642712647
Puchuldiza-Tuja,PT02,CVZ,published,-19.43,-68.91,12.7,-6.4,2.67,NA,66000000000,G,122.303125455093,79.60754914598,65.457749424791
Puchuldiza-Tuja,PT04,CVZ,published,-19.43,-68.91,4.7,-7.9,2.77,NA,130000000000,G,122.303125455093,79.60754914598,65.457749424791
Puchuldiza-Tuja,PT11,CVZ,published,-19.43,-68.91,13.8,-3.7,3.07,NA,304000000000,G,122.303125455093,79.60754914598,65.457749424791
Enqueica,NA,CVZ,published,-19.23,-68.78,5.39,NA,2.75,2.86,NA,W,133.176277232433,74.1473967517452,65.8709552021689
Volcan Isluga,NA,CVZ,published,-19.17,-68.83,106,NA,5.51,5.52,NA,G,131.743461839274,74.641981831548,64.3603827363055
Caico,NA,CVZ,published,-19.13,-69.08,0.85,NA,3.63,5.19,NA,W,118.723863981589,83.1200300269782,60.813575344446
Todoss Santos,NA,CVZ,published,-19.05,-68.85,NA,NA,3.4,3.4,NA,W,132.707784222791,74.1778742626257,62.7051930545893
Surire-2,NA,CVZ,published,-18.92,-68.65,22.29,NA,4.73,4.78,NA,G,145.913999851115,72.998083494032,63.8491059487785
Surire-4,NA,CVZ,published,-18.92,-68.65,34.39,NA,5.03,5.07,NA,G,145.913999851115,72.998083494032,63.8491059487785
Surire,S01,CVZ,published,-18.83,-69.06,5.5,-4.7,2.73,NA,399000000000,G,124.814800228068,77.693663307151,58.5264529418496
Surire,S05,CVZ,published,-18.83,-69.06,1.8,-4.5,2.39,NA,605000000000,G,124.814800228068,77.693663307151,58.5264529418496
Guallatiri,GUA-04,CVZ,published,-18.42,-69.09,1.6,NA,1.99,2.23,NA,G,133.025554486804,73.9670098098138,60.5209898245246
Guallatiri,GUA-06 177,CVZ,published,-18.42,-69.09,4.4,NA,2.96,3.11,NA,G,133.025554486804,73.9670098098138,60.5209898245246
Guallatiri,GUA-10 257,CVZ,published,-18.42,-69.09,5.2,NA,3.06,3.2,NA,G,133.025554486804,73.9670098098138,60.5209898245246
Guallatiri,GUA-11,CVZ,published,-18.42,-69.09,NA,-7.3,NA,NA,NA,G,133.025554486804,73.9670098098138,60.5209898245246
Guallatiri,GUA-12 231,CVZ,published,-18.42,-69.09,NA,-7.1,NA,NA,NA,G,133.025554486804,73.9670098098138,60.5209898245246
Guallatiri,GUA-13 251,CVZ,published,-18.42,-69.09,3.5,-7.5,2.05,2.18,53600000000,G,133.025554486804,73.9670098098138,60.5209898245246
Guallatiri,GUA-14 215,CVZ,published,-18.42,-69.09,1.3,-7.3,1.87,2.14,48300000000,G,133.025554486804,73.9670098098138,60.5209898245246
Guallatiri,GUA-16 208,CVZ,published,-18.42,-69.09,9.2,-7,2.09,2.17,53600000000,G,133.025554486804,73.9670098098138,60.5209898245246
Guallatiri,GUA-18 180,CVZ,published,-18.42,-69.09,NA,-8.6,NA,NA,NA,G,133.025554486804,73.9670098098138,60.5209898245246
Guallatiri,GUA-19 189,CVZ,published,-18.42,-69.09,NA,-7.6,NA,NA,NA,G,133.025554486804,73.9670098098138,60.5209898245246
Guallatiri,GUA-20,CVZ,published,-18.42,-69.09,1.1,-7.7,1.53,1.66,228000000000,G,133.025554486804,73.9670098098138,60.5209898245246
Guallatiri,GUA-22,CVZ,published,-18.42,-69.09,NA,-7.4,NA,NA,NA,G,133.025554486804,73.9670098098138,60.5209898245246
Guallatiri,GUA-24,CVZ,published,-18.42,-69.09,NA,-7.6,NA,NA,NA,G,133.025554486804,73.9670098098138,60.5209898245246
Guallatiri,GUA-25,CVZ,published,-18.42,-69.09,1.5,NA,1.21,1.26,NA,G,133.025554486804,73.9670098098138,60.5209898245246
Churiguyaya,NA,CVZ,published,-18.35,-69.02,NA,NA,0.92,0.92,NA,W,138.470804818372,73.6598255297518,61.1681095003119
Guallatiri,CH-1.1,CVZ,published,-18.34,-69.05,58.2,-4.1,0.96,NA,NA,G,137.212685004334,73.7435913494414,61.4231959732984
Guallatiri,CH-2.1,CVZ,published,-18.34,-69.05,NA,-9.6,NA,NA,NA,G,137.212685004334,73.7435913494414,61.4231959732984
Rio Junthuma,RJ,CVZ,published,-18.1,-69.03,NA,NA,1.82,1.82,NA,G,144.725164619998,82.5727263897845,62.8199397899533
Sajama,NA,CVZ,published,-18.07,-68.97,NA,NA,1.42,1.42,NA,W,149.017164970817,82.5532749036761,62.627141552128
Colpitas,Co1,CVZ,published,-17.95,-69.43,3,NA,NA,2.04,NA,G,,,64.5533543378822
Colpitas,Co12,CVZ,published,-17.95,-69.43,NA,-5.63,NA,NA,NA,G,,,64.5533543378822
Colpitas,Co5,CVZ,published,-17.95,-69.43,NA,-7.4,NA,NA,NA,G,,,64.5533543378822
