Sample Name,Sample ID,Region,lat,long,origin,Phase,xco2,x3he,x4he
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,published,G,0.999962556930748,2.63147988473114E-10,3.74428061038084E-05
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,published,G,0.999979363340353,1.47055704093936E-10,2.06365125914289E-05
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,published,G,0.999981399022193,1.33330844971055E-10,1.86008444758592E-05
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,published,G,0.999983391951002,1.1904563937748E-10,1.66079299524175E-05
Copahue Volcano,Anfiteatro,SVZ,-37.84,-71.19,published,G,0.999981543212125,1.33330929050934E-10,1.8456654544336E-05
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,published,G,0.999979877266148,1.4705583839948E-10,2.0122586795819E-05
Copahue Volcano,Chancho Co,SVZ,-37.84,-71.19,published,G,0.999985328528611,1.09888491881015E-10,1.46713615007352E-05
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,published,G,0.999984841239887,1.24998110800011E-10,1.51586351145993E-05
Copahue Volcano,Las Máquinas,SVZ,-37.84,-71.19,published,G,0.999987518422619,1.12358281741313E-10,1.24814650230363E-05
Copahue Volcano,Las Máquinas,SVZ,-37.84,-71.19,published,G,0.999988517811332,1.0416540211362E-10,1.14820845023531E-05
Copahue Volcano,Las Máquinas,SVZ,-37.84,-71.19,published,G,0.999987401298437,1.17645541415583E-10,1.25985839176853E-05
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,published,G,0.999987623951067,1.17645520392225E-10,1.23759312873735E-05
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,published,G,0.999980292500625,1.92303882233248E-10,1.97073070715276E-05
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,published,G,0.999988421014565,1.136349589509E-10,1.15788717997314E-05
Copahue Volcano,Las Máquinas,SVZ,-37.84,-71.19,published,G,0.99998363542281,1.61287745217343E-10,1.63644159022637E-05
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,published,G,0.999935303726251,6.66623464423504E-10,6.46956071251457E-05
Copahue Volcano,Las Máquinas,SVZ,-37.84,-71.19,published,G,,,
Copahue Volcano,Las Máquinas,SVZ,-37.84,-71.19,published,G,0.999988416499736,1.21949827692756E-10,1.15833783140399E-05
Copahue Volcano,Las Máquinas,SVZ,-37.84,-71.19,published,G,0.999987468695381,1.33331736391917E-10,1.25311712869095E-05
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,published,G,,,
Copahue Volcano,Las Máquinas,SVZ,-37.84,-71.19,published,G,0.999984174541702,1.69488863834564E-10,1.58252888088386E-05
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,published,G,0.999988502822091,1.23455374370209E-10,1.14970544532293E-05
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,published,G,0.999983683257051,1.75435756149227E-10,1.63165675134622E-05
Copahue Volcano,Las Máquinas,SVZ,-37.84,-71.19,published,G,0.999985057471425,1.61287968944155E-10,1.49423672869549E-05
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,published,G,0.999986172570079,1.49251676806689E-10,1.38272806696102E-05
Copahue Volcano,Las Máquinas,SVZ,-37.84,-71.19,published,G,0.999971962890267,3.03021837209558E-10,2.80368067113661E-05
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,published,G,0.999988606799435,1.2345531766813E-10,1.1393077109218E-05
Copahue Volcano,cristina 1,SVZ,-37.84,-71.19,published,G,0.999969278644291,3.33323199730039E-10,3.07210223853853E-05
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,published,G,0.999970981030055,3.22571335314563E-10,2.90186473734476E-05
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,published,G,0.999982700026714,1.92304365543471E-10,1.72997809814459E-05
Copahue Volcano,Piedra Copahue,SVZ,-37.84,-71.19,published,G,0.999977566656712,2.49994370622969E-10,2.24330932936269E-05
Copahue Volcano,Las Máquinas,SVZ,-37.84,-71.19,published,G,,,
Copahue Volcano,Las Maquinitas,SVZ,-37.84,-71.19,published,G,,,
Copahue Volcano,cristina 2,SVZ,-37.84,-71.19,published,G,,,
Copahue,AF,SVZ,-37.84,-71.19,published,G,,,
Copahue,COP-2,SVZ,-37.84,-71.19,published,G,,,
Copahue,CB,SVZ,-37.84,-71.19,published,G,,,
Copahue,LM,SVZ,-37.84,-71.19,published,G,,,
Copahue,TC,SVZ,-37.84,-71.19,published,G,,,
Copahue,LMM,SVZ,-37.84,-71.19,published,G,,,
Termas Palguin I,,SVZ,-39.38,-71.78,published,G,,,
Termas San Luis,,SVZ,-39.35,-71.55,published,G,,,
Termas Tolhuaca,,SVZ,-38.23,-71.73,published,G,,,
Termas Chillan,,SVZ,-36.87,-71.73,published,G,,,
Ratios Morales,,SVZ,-33.8,-70.2,published,G,,,
Termas de Rupanco,RU,SVZ,-40.86,-72.22,published,G,0.989163317846957,9.89163318129704E-08,0.010836583236711
Termas de Aguas Calientes,AC,SVZ,-40.73,-72.31,published,G,,,
Termas de Palguin,PA,SVZ,-39.42,-71.79,published,G,0.980438088537643,9.80438088528379E-08,0.019561813418548
